Species,calibration_scale,units
co2,WMO-X2019,ppm
ch4,TU-87,ppb
n2o,SIO-16,ppb
co,WMO-X2014A,ppb
h2,MPI-2009,ppb
cfc-11,SIO-05,ppt
cfc-12,SIO-05,ppt
cfc-13,METAS-2017,ppt
cfc-113,SIO-05,ppt
cfc-114,SIO-05,ppt
cfc-115,SIO-05,ppt
hfc-23,SIO-07,ppt
hfc-32,SIO-07,ppt
hfc-125,SIO-14,ppt
hfc-134a,SIO-05,ppt
hfc-143a,SIO-07,ppt
hfc-152a,SIO-05,ppt
hfc-227ea,SIO-14,ppt
hfc-236fa,SIO-14,ppt
hfc-245fa,SIO-14,ppt
hfc-365mfc,SIO-14,ppt
hfc-4310mee,SIO-14,ppt
hcfc-22,SIO-05,ppt
hcfc-124,UB-98,ppt
hcfc-132b,METAS-2017,ppt
hcfc-133a,Empa-2013,ppt
hcfc-141b,SIO-05,ppt
hcfc-142b,SIO-05,ppt
h-1211,SIO-05,ppt
h-1301,SIO-05,ppt
h-2402,SIO-14,ppt
ch3cl,SIO-05,ppt
ch2cl2,SIO-14,ppt
chcl3,SIO-98,ppt
ch3ccl3,SIO-05,ppt
chclccl2,UB-98,ppt
ccl2ccl2,NOAA-2003B,ppt
ccl4,SIO-05,ppt
sf6,SIO-05,ppt
so2f2,SIO-07,ppt
nf3,SIO-12,ppt
ch3br,SIO-05,ppt
cf4,SIO-05,ppt
c2f6,SIO-07,ppt
c3f8,SIO-07,ppt
c4f8,SIO-14,ppt
pce,NOAA-2003B,ppt
